tool,variant,run,scanned_at,duration_s,n_findings_raw,n_findings_mapped,mc_detected
azpolicy,hardened,1,2026-08-03T14:46:57.7947894Z,737.1397552,0,0,
azpolicy,vuln-01-public-storage,2,2026-08-03T16:55:55.1530619Z,734.4680278,93,1,mc01_public_storage
azpolicy,vuln-02-rbac-contributor,1,2026-08-03T22:05:22.0254030Z,741.9516905,90,0,
azpolicy,hardened,2,2026-08-04T13:55:08.3101144Z,460.0465047,90,0,
azpolicy,vuln-07-logging-disabled,1,2026-08-04T14:16:25.3601776Z,459.60013,93,1,mc07_logging_disabled
azpolicy,vuln-10-sp-nonexpiring-owner,1,2026-08-04T14:41:44.5578488Z,459.845904,90,0,
azpolicy,vuln-03-sql-public,1,2026-08-04T15:13:36.9276118Z,737.2112393,93,1,mc03_sql_public
azpolicy,vuln-04-open-mgmt-ports,1,2026-08-04T15:39:35.4424829Z,826.2082523,90,0,
azpolicy,vuln-05-plaintext-secrets,1,2026-08-04T17:09:00.3038250Z,736.3368693,90,0,
azpolicy,vuln-06-no-https,1,2026-08-04T17:34:16.5137049Z,458.6792898,99,1,mc06_no_https
azpolicy,vuln-08-no-cmk,1,2026-08-04T17:55:37.8788205Z,459.0469584,93,1,mc08_no_cmk
azpolicy,vuln-09-nsg-open-inbound,1,2026-08-04T18:19:31.0863088Z,459.4125697,90,0,
azpolicy,mixed-seed-101,1,2026-08-04T18:43:40.8451699Z,461.0911407,99,1,mc06_no_https
azpolicy,mixed-seed-202,1,2026-08-04T19:06:16.0452311Z,459.5670747,96,2,mc07_logging_disabled;mc08_no_cmk
azpolicy,mixed-seed-303,1,2026-08-04T19:32:48.7399291Z,461.467064,93,1,mc01_public_storage
azpolicy,noisy-compliant,1,2026-08-04T19:56:19.2285798Z,460.1379664,87,0,
