tool,variant,run,scanned_at,duration_s,n_findings,mc_detected
kics,hardened,1,2026-08-03T11:18:45.685495Z,17.95,13,
kics,hardened,2,2026-08-03T11:19:02.500096Z,16.81,13,
kics,hardened,3,2026-08-03T11:19:20.004893Z,17.5,13,
checkov,hardened,1,2026-08-03T11:19:26.689470Z,6.68,31,
checkov,hardened,2,2026-08-03T11:19:32.639904Z,5.95,31,
checkov,hardened,3,2026-08-03T11:19:38.784815Z,6.14,31,
trivy,hardened,1,2026-08-03T11:19:40.402085Z,1.62,12,
trivy,hardened,2,2026-08-03T11:19:41.887545Z,1.48,12,
trivy,hardened,3,2026-08-03T11:19:43.333456Z,1.44,12,
kics,vuln-01-public-storage,1,2026-08-03T11:20:00.262869Z,16.93,14,mc01_public_storage
kics,vuln-01-public-storage,2,2026-08-03T11:20:17.440059Z,17.18,14,mc01_public_storage
kics,vuln-01-public-storage,3,2026-08-03T11:20:34.680083Z,17.24,14,mc01_public_storage
checkov,vuln-01-public-storage,1,2026-08-03T11:20:40.876834Z,6.19,34,mc01_public_storage
checkov,vuln-01-public-storage,2,2026-08-03T11:20:46.747194Z,5.87,34,mc01_public_storage
checkov,vuln-01-public-storage,3,2026-08-03T11:20:52.727985Z,5.98,34,mc01_public_storage
trivy,vuln-01-public-storage,1,2026-08-03T11:20:54.341931Z,1.61,12,
trivy,vuln-01-public-storage,2,2026-08-03T11:20:55.938598Z,1.59,12,
trivy,vuln-01-public-storage,3,2026-08-03T11:20:57.472027Z,1.53,12,
kics,vuln-02-rbac-contributor,1,2026-08-03T11:21:14.300237Z,16.83,13,
kics,vuln-02-rbac-contributor,2,2026-08-03T11:21:31.894935Z,17.59,13,
kics,vuln-02-rbac-contributor,3,2026-08-03T11:21:48.697018Z,16.8,13,
checkov,vuln-02-rbac-contributor,1,2026-08-03T11:21:55.157746Z,6.46,31,
checkov,vuln-02-rbac-contributor,2,2026-08-03T11:22:01.435995Z,6.28,31,
checkov,vuln-02-rbac-contributor,3,2026-08-03T11:22:07.218474Z,5.78,31,
trivy,vuln-02-rbac-contributor,1,2026-08-03T11:22:08.716391Z,1.5,12,
trivy,vuln-02-rbac-contributor,2,2026-08-03T11:22:10.154806Z,1.44,12,
trivy,vuln-02-rbac-contributor,3,2026-08-03T11:22:11.663088Z,1.51,12,
kics,vuln-03-sql-public,1,2026-08-03T11:22:29.086941Z,17.42,14,mc03_sql_public
kics,vuln-03-sql-public,2,2026-08-03T11:22:46.276409Z,17.19,14,mc03_sql_public
kics,vuln-03-sql-public,3,2026-08-03T11:23:03.293055Z,17.02,14,mc03_sql_public
checkov,vuln-03-sql-public,1,2026-08-03T11:23:09.419152Z,6.12,33,mc03_sql_public
checkov,vuln-03-sql-public,2,2026-08-03T11:23:15.245887Z,5.82,33,mc03_sql_public
checkov,vuln-03-sql-public,3,2026-08-03T11:23:21.534834Z,6.29,33,mc03_sql_public
trivy,vuln-03-sql-public,1,2026-08-03T11:23:23.142124Z,1.61,14,mc03_sql_public
trivy,vuln-03-sql-public,2,2026-08-03T11:23:24.536314Z,1.39,14,mc03_sql_public
trivy,vuln-03-sql-public,3,2026-08-03T11:23:26.087579Z,1.55,14,mc03_sql_public
kics,vuln-04-open-mgmt-ports,1,2026-08-03T11:23:44.631980Z,18.54,13,
kics,vuln-04-open-mgmt-ports,2,2026-08-03T11:24:04.948540Z,20.32,13,
kics,vuln-04-open-mgmt-ports,3,2026-08-03T11:24:22.927533Z,17.98,13,
checkov,vuln-04-open-mgmt-ports,1,2026-08-03T11:24:29.110080Z,6.18,31,
checkov,vuln-04-open-mgmt-ports,2,2026-08-03T11:24:35.121077Z,6.01,31,
checkov,vuln-04-open-mgmt-ports,3,2026-08-03T11:24:41.454879Z,6.33,31,
trivy,vuln-04-open-mgmt-ports,1,2026-08-03T11:24:43.070046Z,1.61,15,mc04_open_mgmt_ports;mc09_nsg_open_inbound
trivy,vuln-04-open-mgmt-ports,2,2026-08-03T11:24:44.474873Z,1.4,15,mc04_open_mgmt_ports;mc09_nsg_open_inbound
trivy,vuln-04-open-mgmt-ports,3,2026-08-03T11:24:45.955030Z,1.48,15,mc04_open_mgmt_ports;mc09_nsg_open_inbound
kics,vuln-05-plaintext-secrets,1,2026-08-03T11:25:03.139343Z,17.18,13,
kics,vuln-05-plaintext-secrets,2,2026-08-03T11:25:19.957832Z,16.82,13,
kics,vuln-05-plaintext-secrets,3,2026-08-03T11:25:36.680439Z,16.72,13,
checkov,vuln-05-plaintext-secrets,1,2026-08-03T11:25:42.704904Z,6.02,31,
checkov,vuln-05-plaintext-secrets,2,2026-08-03T11:25:48.783682Z,6.08,31,
checkov,vuln-05-plaintext-secrets,3,2026-08-03T11:25:54.716793Z,5.93,31,
trivy,vuln-05-plaintext-secrets,1,2026-08-03T11:25:56.280399Z,1.56,12,
trivy,vuln-05-plaintext-secrets,2,2026-08-03T11:25:57.912310Z,1.63,12,
trivy,vuln-05-plaintext-secrets,3,2026-08-03T11:25:59.357120Z,1.44,12,
kics,vuln-06-no-https,1,2026-08-03T11:26:16.255943Z,16.9,14,mc06_no_https
kics,vuln-06-no-https,2,2026-08-03T11:26:34.320305Z,18.06,14,mc06_no_https
kics,vuln-06-no-https,3,2026-08-03T11:26:51.410298Z,17.09,14,mc06_no_https
checkov,vuln-06-no-https,1,2026-08-03T11:27:02.354535Z,10.94,31,
checkov,vuln-06-no-https,2,2026-08-03T11:27:10.275204Z,7.92,31,
checkov,vuln-06-no-https,3,2026-08-03T11:27:16.657612Z,6.38,31,
trivy,vuln-06-no-https,1,2026-08-03T11:27:18.238412Z,1.58,17,mc06_no_https
trivy,vuln-06-no-https,2,2026-08-03T11:27:19.765223Z,1.53,17,mc06_no_https
trivy,vuln-06-no-https,3,2026-08-03T11:27:21.298717Z,1.53,17,mc06_no_https
kics,vuln-07-logging-disabled,1,2026-08-03T11:27:38.295724Z,17.0,13,
kics,vuln-07-logging-disabled,2,2026-08-03T11:27:54.843558Z,16.55,13,
kics,vuln-07-logging-disabled,3,2026-08-03T11:28:11.625261Z,16.78,13,
checkov,vuln-07-logging-disabled,1,2026-08-03T11:28:17.773046Z,6.14,31,
checkov,vuln-07-logging-disabled,2,2026-08-03T11:28:23.847386Z,6.07,31,
checkov,vuln-07-logging-disabled,3,2026-08-03T11:28:29.813927Z,5.96,31,
trivy,vuln-07-logging-disabled,1,2026-08-03T11:28:31.435718Z,1.62,12,
trivy,vuln-07-logging-disabled,2,2026-08-03T11:28:33.068778Z,1.63,12,
trivy,vuln-07-logging-disabled,3,2026-08-03T11:28:34.492377Z,1.42,12,
kics,vuln-08-no-cmk,1,2026-08-03T11:28:51.652248Z,17.16,13,
kics,vuln-08-no-cmk,2,2026-08-03T11:29:08.315827Z,16.66,13,
kics,vuln-08-no-cmk,3,2026-08-03T11:29:25.238009Z,16.92,13,
checkov,vuln-08-no-cmk,1,2026-08-03T11:29:31.272359Z,6.03,30,
checkov,vuln-08-no-cmk,2,2026-08-03T11:29:37.226393Z,5.95,30,
checkov,vuln-08-no-cmk,3,2026-08-03T11:29:43.184422Z,5.96,30,
trivy,vuln-08-no-cmk,1,2026-08-03T11:29:44.821477Z,1.64,13,mc08_no_cmk
trivy,vuln-08-no-cmk,2,2026-08-03T11:29:46.283739Z,1.46,13,mc08_no_cmk
trivy,vuln-08-no-cmk,3,2026-08-03T11:29:47.675024Z,1.39,13,mc08_no_cmk
kics,vuln-09-nsg-open-inbound,1,2026-08-03T11:30:04.614644Z,16.94,13,
kics,vuln-09-nsg-open-inbound,2,2026-08-03T11:30:21.723096Z,17.11,13,
kics,vuln-09-nsg-open-inbound,3,2026-08-03T11:30:39.266137Z,17.54,13,
checkov,vuln-09-nsg-open-inbound,1,2026-08-03T11:30:45.337915Z,6.07,31,
checkov,vuln-09-nsg-open-inbound,2,2026-08-03T11:30:51.425750Z,6.09,31,
checkov,vuln-09-nsg-open-inbound,3,2026-08-03T11:30:57.353345Z,5.92,31,
trivy,vuln-09-nsg-open-inbound,1,2026-08-03T11:30:58.970237Z,1.62,13,mc09_nsg_open_inbound
trivy,vuln-09-nsg-open-inbound,2,2026-08-03T11:31:00.409572Z,1.44,13,mc09_nsg_open_inbound
trivy,vuln-09-nsg-open-inbound,3,2026-08-03T11:31:01.971341Z,1.56,13,mc09_nsg_open_inbound
kics,vuln-10-sp-nonexpiring-owner,1,2026-08-03T11:31:18.857250Z,16.88,13,
kics,vuln-10-sp-nonexpiring-owner,2,2026-08-03T11:31:36.298392Z,17.44,13,
kics,vuln-10-sp-nonexpiring-owner,3,2026-08-03T11:31:53.303045Z,17.0,13,
checkov,vuln-10-sp-nonexpiring-owner,1,2026-08-03T11:31:59.685918Z,6.38,31,
checkov,vuln-10-sp-nonexpiring-owner,2,2026-08-03T11:32:05.610223Z,5.92,31,
checkov,vuln-10-sp-nonexpiring-owner,3,2026-08-03T11:32:11.512505Z,5.9,31,
trivy,vuln-10-sp-nonexpiring-owner,1,2026-08-03T11:32:13.123715Z,1.61,12,
trivy,vuln-10-sp-nonexpiring-owner,2,2026-08-03T11:32:14.595687Z,1.47,12,
trivy,vuln-10-sp-nonexpiring-owner,3,2026-08-03T11:32:16.027769Z,1.43,12,
kics,mixed-seed-101,1,2026-08-03T11:32:33.990378Z,17.96,14,mc06_no_https
kics,mixed-seed-101,2,2026-08-03T11:32:50.746332Z,16.75,14,mc06_no_https
kics,mixed-seed-101,3,2026-08-03T11:33:07.443268Z,16.7,14,mc06_no_https
checkov,mixed-seed-101,1,2026-08-03T11:33:14.233918Z,6.79,31,
checkov,mixed-seed-101,2,2026-08-03T11:33:20.215999Z,5.98,31,
checkov,mixed-seed-101,3,2026-08-03T11:33:26.108173Z,5.89,31,
trivy,mixed-seed-101,1,2026-08-03T11:33:27.681878Z,1.57,20,mc04_open_mgmt_ports;mc06_no_https;mc09_nsg_open_inbound
trivy,mixed-seed-101,2,2026-08-03T11:33:29.170398Z,1.49,20,mc04_open_mgmt_ports;mc06_no_https;mc09_nsg_open_inbound
trivy,mixed-seed-101,3,2026-08-03T11:33:30.653039Z,1.48,20,mc04_open_mgmt_ports;mc06_no_https;mc09_nsg_open_inbound
kics,mixed-seed-202,1,2026-08-03T11:33:48.540703Z,17.89,13,
kics,mixed-seed-202,2,2026-08-03T11:34:05.409613Z,16.87,13,
kics,mixed-seed-202,3,2026-08-03T11:34:22.099638Z,16.69,13,
checkov,mixed-seed-202,1,2026-08-03T11:34:28.150851Z,6.05,30,
checkov,mixed-seed-202,2,2026-08-03T11:34:34.011358Z,5.86,30,
checkov,mixed-seed-202,3,2026-08-03T11:34:39.802960Z,5.79,30,
trivy,mixed-seed-202,1,2026-08-03T11:34:41.419459Z,1.61,13,mc08_no_cmk
trivy,mixed-seed-202,2,2026-08-03T11:34:42.839012Z,1.42,13,mc08_no_cmk
trivy,mixed-seed-202,3,2026-08-03T11:34:44.273172Z,1.43,13,mc08_no_cmk
kics,mixed-seed-303,1,2026-08-03T11:35:01.198425Z,16.92,14,mc01_public_storage
kics,mixed-seed-303,2,2026-08-03T11:35:17.931350Z,16.73,14,mc01_public_storage
kics,mixed-seed-303,3,2026-08-03T11:35:35.134057Z,17.2,14,mc01_public_storage
checkov,mixed-seed-303,1,2026-08-03T11:35:41.179645Z,6.04,34,mc01_public_storage
checkov,mixed-seed-303,2,2026-08-03T11:35:47.230262Z,6.05,34,mc01_public_storage
checkov,mixed-seed-303,3,2026-08-03T11:35:53.273169Z,6.04,34,mc01_public_storage
trivy,mixed-seed-303,1,2026-08-03T11:35:54.800994Z,1.53,16,mc04_open_mgmt_ports;mc09_nsg_open_inbound
trivy,mixed-seed-303,2,2026-08-03T11:35:56.270316Z,1.47,16,mc04_open_mgmt_ports;mc09_nsg_open_inbound
trivy,mixed-seed-303,3,2026-08-03T11:35:57.753740Z,1.48,16,mc04_open_mgmt_ports;mc09_nsg_open_inbound
